px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0	0	0	0	0	0	0	0	0	0	0	6.92514e-310
0	0	0	0	0	0	0	0	0	0	0	6.92514e-310
1.55945	-0.138501	0	0	0	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	6.92514e-310
1.59584	0.321942	2.12229	0	0	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	5.95871
3.86685	-0.131593	3.54863	-0.263604	-0.0925096	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	2.82393
3.93627	0.0733738	3.50918	-0.151324	-0.0742407	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	0.078158
6.83112	0.426166	5.25458	-0.008829	0.0549054	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	7.22759
6.69359	0.459192	2.86144	-0.139824	-0.102335	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	8.815
9.08109	0.583067	2.50303	0.0951133	0.130533	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	0.561928
9.04914	0.653376	2.55005	0.1326	0.15511	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	0.00525391
11.5724	1.65076	2.95333	0.553399	0.342915	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	0.223881
11.5412	1.61712	2.77191	0.543323	0.339908	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	0.0273785
13.5856	2.33842	1.85752	0.456377	0.0416439	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	0.990866
13.618	2.31556	2.54776	0.415525	0.010065	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	0.465082
16.6223	2.91955	3.34465	0.0372021	-0.263143	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	0.639931
16.5433	2.89717	2.84944	0.04033	-0.26551	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	0.257549
19.0127	3.67668	2.43141	0.302532	0.100447	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	1.03373
19.0851	3.69778	2.54737	0.318443	0.111782	19.363	3.87122	18.923	3.74161	2.61382	0.95648	0.0291353
21.3321	4.72714	2.6144	0.506158	0.165761	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0.013966
21.3953	4.73823	2.9112	0.49259	0.152366	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	0.0959334
24.068	5.58631	2.81986	0.275048	-0.10534	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	0.519206
24.1761	5.62169	3.1012	0.259157	-0.116867	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	0.116764
26.6154	6.94316	2.71425	0.525121	0.152482	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	0.735928
26.6135	6.93771	3.06017	0.514877	0.135604	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	0.116368
29.571	8.09983	3.34493	0.324325	-0.100861	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	0.435993
29.5511	8.09567	3.07833	0.330565	-0.0967071	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	0.0739754
31.9512	9.85592	2.92664	0.72093	0.249051	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	1.00474
31.9126	9.83396	3.04418	0.708578	0.232463	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	0.0210938
34.5916	10.7277	2.47676	0.270464	-0.248516	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	2.07356
34.6978	10.7717	2.9756	0.245082	-0.263048	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	0.283632
37.1474	12.0613	2.6648	0.482707	0.0907698	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	0.969645
37.2329	12.0864	3.06718	0.489252	0.0894085	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	0.177003
40.3132	13.4697	3.70977	0.393332	-0.0455762	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	0.306372
40.2307	13.4424	3.07355	0.408382	-0.0336499	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	0.432685
42.7703	14.8228	3.01324	0.517708	0.0678125	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	0.0895248
42.7513	14.8181	3.16576	0.515302	0.0627609	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938	0.0251544
45.3561	16.5488	3.33591	0.628938	0.0985516	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701	0.0248043
45.3998	16.5639	3.26279	0.628834	0.101735	45.649	16.5213	45.4265	16.3307	2.64546	1.29701	0.0126504
48.1459	17.3101	2.52628	0.205652	-0.270958	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832	1.7898
48.1294	17.3127	2.76948	0.213264	-0.261075	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832	0.0611535
50.6224	19.0223	2.83393	0.766087	0.321599	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454	1.72937
50.6109	19.0067	3.1094	0.748671	0.295794	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454	0.0723024
53.6885	19.9275	2.76785	0.162301	-0.332641	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716	3.55619
53.658	19.9181	2.78972	0.172235	-0.323076	53.5277	19.862	53.3577	19.9486	2.59372	1.07716	0.00405557
56.0344	21.0557	2.48582	0.454481	0.107247	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022	1.08876
56.0101	21.0423	2.68665	0.445647	0.0957787	55.867	20.985	55.9669	20.9874	2.56561	0.978022	0.0456241
58.651	21.7974	2.86042	0.225485	-0.128129	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205	0.277411
58.6507	21.7988	2.87809	0.226332	-0.12723	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205	0.00032084
60.882	22.7732	2.39091	0.40678	0.0845967	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031	0.517673
60.8648	22.7636	2.66279	0.400795	0.0769748	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031	0.0789848
63.3753	23.4205	2.67235	0.222366	-0.10341	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987	0.170912
63.4534	23.4479	2.59212	0.217088	-0.110135	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987	0.03018
66.3292	23.9897	3.27911	0.162315	-0.0693846	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	0.217172
66.2247	23.95	2.42486	0.137957	-0.0954632	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	0.76719
68.2674	24.3505	2.11546	0.181507	-9.27979e-05	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	0.101394
68.3639	24.3838	2.52331	0.199474	0.0143899	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	0.195831
70.8246	24.8834	2.70153	0.216203	0.016248	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	0.0148788
70.7852	24.8682	2.30491	0.21094	0.00936907	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	0.162787
72.8926	24.7367	2.03836	-0.125777	-0.229143	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	0.215279
72.9482	24.7597	2.31889	-0.113755	-0.214888	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	0.0715098
74.9959	25.2235	1.96405	0.25376	0.18024	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	0.728437
74.9903	25.2197	2.0388	0.251197	0.177885	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	0.00597625
77.1082	24.9727	1.95946	-0.205001	-0.255617	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	0.456123
77.1297	24.9785	1.9111	-0.208717	-0.261723	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	0.00365665
79.0891	25.0009	2.03549	0.0680183	0.0980948	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	0.250276
79.0948	25.0054	1.85224	0.0676809	0.0976201	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	0.0330507
80.8077	24.8844	1.75542	-0.0493751	-0.0438185	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	0.0440781
80.8601	24.8982	1.63848	-0.0467785	-0.0471766	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	0.0221412
82.6168	24.6444	1.96322	-0.168998	-0.0942825	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	0.0644515
82.5969	24.6369	1.69271	-0.185784	-0.112475	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	0.0622153
84.1674	24.5325	1.67784	-0.0370192	0.0545089	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	0.0534915
84.1764	24.5348	1.62026	-0.0350818	0.0549227	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	0.00324622
85.6414	23.8472	1.50828	-0.508392	-0.283728	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	0.183267
85.7034	23.8675	1.76205	-0.48175	-0.257074	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	0.0421485
86.9358	23.5036	1.18405	-0.371961	-0.0253694	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	0.360927
87.0601	23.534	1.33939	-0.292875	0.0276503	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	0.0755624
88.8129	22.8029	2.22183	-0.434889	-0.079604	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	0.442076
88.7311	22.7759	1.75851	-0.513479	-0.156042	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514	0.203041
89.5092	22.2991	0.75365	-0.575495	-0.108238	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904	0.633593
89.5781	22.3103	1.11181	-0.525581	-0.071083	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904	0.0630016
90.512	21.6695	1.24085	-0.608998	-0.0786441	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241	0.00915376
90.5944	21.6865	1.418	-0.536537	-0.0273061	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241	0.0441689
91.7118	21.1058	1.35648	-0.404711	0.0669267	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964	0.0173682
91.7796	21.1237	1.14434	-0.374202	0.0754962	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964	0.0380345
92.8504	20.9322	1.18724	-0.0494902	0.228087	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443	0.0161969
92.9309	20.9508	0.986106	-0.00604584	0.251003	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443	0.0580745
93.4697	20.2901	0.252599	-0.569498	-0.220996	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919	0.321217
93.5528	20.3137	1.0281	-0.563644	-0.206908	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919	0.224456
95.2736	19.6314	2.21964	-0.130124	0.160622	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439	0.792633
95.1017	19.6193	1.12467	-0.358457	0.0100714	94.494	19.8854	94.8209	20.01	0.893308	-0.497439	1.55376
95.5111	19.6767	0.194008	-0.0623426	0.167702	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816	0.480286
95.5438	19.6714	0.740611	-0.0536263	0.174144	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816	0.275119
96.2598	19.2319	0.758461	-0.544713	-0.202136	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589	0.0464549
