px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0	0	0	0	0	0	0	0	0	0	0	6.90165e-310
0	0	0	0	0	0	0	0	0	0	0	6.90165e-310
1.55945	-0.138501	0	0	0	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	6.90165e-310
1.59584	0.321942	2.12229	0	0	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	5.95871
2.75197	0.377409	2.50685	-5.12014e-17	-2.40495e-16	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	6.90165e-310
3.35123	0.283522	2.98592	0.150026	0.125569	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	4.02808
4.9913	0.435466	3.52696	0.300852	0.148322	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	6.90165e-310
6.08539	0.715032	4.39808	1.66596	0.888139	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	28.4842
5.91063	2.65839	5.195	2.84234	1.04907	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	6.90165e-310
8.74683	1.99512	4.04392	1.28621	0.486602	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	260.126
10.1348	6.06981	4.77666	1.99841	0.574773	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	6.90165e-310
12.4135	2.99025	1.25718	1.24501	-0.0139947	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	8.31081
14.9129	4.73295	1.48498	1.45682	-0.0165305	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	6.90165e-310
14.4767	3.06566	1.13987	0.9123	-0.512814	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	1.12327
17.8782	4.39135	1.34641	0.572659	-0.605734	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	6.90165e-310
17.192	3.64099	1.87786	0.423352	-0.733171	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	0.936383
